External Library Name, Link to License, License Name, Binaries using the license.
grpc++, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, ./goldfish-webrtc-bridge ./qemu/linux-x86_64/qemu-system-i386 ./qemu/linux-x86_64/qemu-system-armel ./qemu/linux-x86_64/qemu-system-i386-headless OpenglRender.so ./nimble_bridge ./emulator-check ./qemu-img ./qemu/linux-x86_64/qemu-system-x86_64-headless ./qsn ./qemu/linux-x86_64/qemu-system-x86_64 emugl_common.so ./qemu/linux-x86_64/qemu-system-aarch64 ./qemu/linux-x86_64/qemu-system-aarch64-headless ./qemu/linux-x86_64/qemu-system-armel-headless, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
lz4, https://android.googlesource.com/platform/external/lz4/+/refs/heads/emu-master-dev/NOTICE, BSD-2-Clause, android-emu-metrics.so ./qemu/linux-x86_64/qemu-system-i386 ./goldfish-webrtc-bridge OpenglRender.so android-emu-agents.so ./emulator ./qsn ./qemu/linux-x86_64/qemu-system-x86_64 android-emu-curl.so ./qemu/linux-x86_64/qemu-system-aarch64-headless emugl_common.so ./qemu/linux-x86_64/qemu-system-armel-headless ./qemu/linux-x86_64/qemu-system-armel ./emulator-check ./nimble_bridge ./qemu/linux-x86_64/qemu-system-i386-headless ./qemu-img ./qemu/linux-x86_64/qemu-system-x86_64-headless ./qemu/linux-x86_64/qemu-system-aarch64, https://android.googlesource.com/platform/external/lz4/+/refs/heads/emu-master-dev
libvpx, https://android.googlesource.com/platform/external/webrtc/+/refs/heads/emu-master-dev/LICENSE, BSD-3-Clause, ./goldfish-webrtc-bridge ./qemu/linux-x86_64/qemu-system-i386 ./qemu/linux-x86_64/qemu-system-armel ./qemu/linux-x86_64/qemu-system-i386-headless OpenglRender.so ./nimble_bridge ./emulator-check ./qemu-img ./qemu/linux-x86_64/qemu-system-x86_64-headless ./qsn ./qemu/linux-x86_64/qemu-system-x86_64 emugl_common.so ./qemu/linux-x86_64/qemu-system-aarch64 ./qemu/linux-x86_64/qemu-system-aarch64-headless ./qemu/linux-x86_64/qemu-system-armel-headless, https://android.googlesource.com/platform/external/webrtc/+/refs/heads/emu-master-dev
Qt Gui, https://doc.qt.io/qt-5.12/qtGui-index.html#licenses-and-attributions, LGPL-3.0-only, ./qemu/linux-x86_64/qemu-system-aarch64 ./qemu/linux-x86_64/qemu-system-x86_64 ./qemu/linux-x86_64/qemu-system-i386 ./qemu/linux-x86_64/qemu-system-armel, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/qt-everywhere-src-5.12.1.tar.xz
uuid, https://spdx.org/licenses/BSD-3-Clause.html, BSD-3-Clause, android-emu-metrics.so ./qemu/linux-x86_64/qemu-system-i386 ./goldfish-webrtc-bridge OpenglRender.so android-emu-agents.so ./emulator ./qsn ./qemu/linux-x86_64/qemu-system-x86_64 android-emu-curl.so ./qemu/linux-x86_64/qemu-system-aarch64-headless emugl_common.so ./qemu/linux-x86_64/qemu-system-armel-headless ./qemu/linux-x86_64/qemu-system-armel ./emulator-check ./nimble_bridge ./qemu/linux-x86_64/qemu-system-i386-headless ./qemu-img ./qemu/linux-x86_64/qemu-system-x86_64-headless ./qemu/linux-x86_64/qemu-system-aarch64, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/libuuid1-2.25.2-2.tar.xz
Qt Core, https://doc.qt.io/qt-5.12/qtCore-index.html#licenses-and-attributions, LGPL-3.0-only, ./qemu/linux-x86_64/qemu-system-aarch64 ./qemu/linux-x86_64/qemu-system-x86_64 ./qemu/linux-x86_64/qemu-system-i386 ./qemu/linux-x86_64/qemu-system-armel, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/qt-everywhere-src-5.12.1.tar.xz
ext4_utils, https://android.googlesource.com/platform/system/extras/+/master/ext4_utils/NOTICE, Apache-2.0, android-emu-metrics.so ./qemu/linux-x86_64/qemu-system-i386 ./goldfish-webrtc-bridge OpenglRender.so android-emu-agents.so ./emulator ./qsn ./qemu/linux-x86_64/qemu-system-x86_64 emugl_common.so ./qemu/linux-x86_64/qemu-system-aarch64-headless ./qemu/linux-x86_64/qemu-system-armel-headless ./qemu/linux-x86_64/qemu-system-armel ./emulator-check ./nimble_bridge ./qemu/linux-x86_64/qemu-system-i386-headless ./qemu-img ./qemu/linux-x86_64/qemu-system-x86_64-headless ./qemu/linux-x86_64/qemu-system-aarch64, https://android.googlesource.com/platform/system/extras/+/master/ext4_utils/
grpc, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, ./goldfish-webrtc-bridge ./qemu/linux-x86_64/qemu-system-i386 ./qemu/linux-x86_64/qemu-system-armel ./qemu/linux-x86_64/qemu-system-i386-headless OpenglRender.so ./nimble_bridge ./emulator-check ./qemu-img ./qemu/linux-x86_64/qemu-system-x86_64-headless ./qsn ./qemu/linux-x86_64/qemu-system-x86_64 emugl_common.so ./qemu/linux-x86_64/qemu-system-aarch64 ./qemu/linux-x86_64/qemu-system-aarch64-headless ./qemu/linux-x86_64/qemu-system-armel-headless, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
Qt WebChannel, https://doc.qt.io/qt-5.12/qtWebChannel-index.html#licenses-and-attributions, LGPL-3.0-only, ./qemu/linux-x86_64/qemu-system-aarch64 ./qemu/linux-x86_64/qemu-system-x86_64 ./qemu/linux-x86_64/qemu-system-i386 ./qemu/linux-x86_64/qemu-system-armel, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/qt-everywhere-src-5.12.1.tar.xz
ffmpeg, https://github.com/FFmpeg/FFmpeg/blob/master/LICENSE.md, GPL-2.0-or-later, ./goldfish-webrtc-bridge ./qemu/linux-x86_64/qemu-system-i386 ./qemu/linux-x86_64/qemu-system-armel ./qemu/linux-x86_64/qemu-system-i386-headless OpenglRender.so ./nimble_bridge ./emulator-check ./qemu-img ./qemu/linux-x86_64/qemu-system-x86_64-headless ./qsn ./qemu/linux-x86_64/qemu-system-x86_64 emugl_common.so ./qemu/linux-x86_64/qemu-system-aarch64 ./qemu/linux-x86_64/qemu-system-aarch64-headless ./qemu/linux-x86_64/qemu-system-armel-headless, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/ffmpeg-3.4.5.tar.xz
Qt Network, https://doc.qt.io/qt-5.12/qtNetwork-index.html#licenses-and-attributions, LGPL-3.0-only, ./qemu/linux-x86_64/qemu-system-aarch64 ./qemu/linux-x86_64/qemu-system-x86_64 ./qemu/linux-x86_64/qemu-system-i386 ./qemu/linux-x86_64/qemu-system-armel, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/qt-everywhere-src-5.12.1.tar.xz
libjpeg, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/android/third_party/jpeg-6b/NOTICE, IJG, ./goldfish-webrtc-bridge ./qemu/linux-x86_64/qemu-system-i386 ./qemu/linux-x86_64/qemu-system-armel ./qemu/linux-x86_64/qemu-system-i386-headless OpenglRender.so ./nimble_bridge ./emulator-check ./qemu-img ./qemu/linux-x86_64/qemu-system-x86_64-headless ./qsn ./qemu/linux-x86_64/qemu-system-x86_64 emugl_common.so ./qemu/linux-x86_64/qemu-system-aarch64 ./qemu/linux-x86_64/qemu-system-aarch64-headless ./qemu/linux-x86_64/qemu-system-armel-headless, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/android/third_party/jpeg-6b/
upb, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, ./goldfish-webrtc-bridge ./qemu/linux-x86_64/qemu-system-i386 ./qemu/linux-x86_64/qemu-system-armel ./qemu/linux-x86_64/qemu-system-i386-headless OpenglRender.so ./nimble_bridge ./emulator-check ./qemu-img ./qemu/linux-x86_64/qemu-system-x86_64-headless ./qsn ./qemu/linux-x86_64/qemu-system-x86_64 emugl_common.so ./qemu/linux-x86_64/qemu-system-aarch64 ./qemu/linux-x86_64/qemu-system-aarch64-headless ./qemu/linux-x86_64/qemu-system-armel-headless, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
jsoncpp, https://android.googlesource.com/platform/external/jsoncpp/+/refs/heads/master/LICENSE, MIT, ./qemu/linux-x86_64/qemu-system-armel-headless ./qemu/linux-x86_64/qemu-system-i386 ./qemu/linux-x86_64/qemu-system-armel ./qemu/linux-x86_64/qemu-system-i386-headless ./nimble_bridge ./qemu/linux-x86_64/qemu-system-x86_64-headless ./qsn ./qemu/linux-x86_64/qemu-system-x86_64 ./qemu/linux-x86_64/qemu-system-aarch64 ./qemu/linux-x86_64/qemu-system-aarch64-headless, https://android.googlesource.com/platform/external/jsoncpp/+/refs/heads/master
dtc, https://kernel.googlesource.com/pub/scm/utils/dtc/dtc.git/+/refs/heads/master/README.license, GPL-2.0-or-later, ./qemu/linux-x86_64/qemu-system-armel-headless ./qemu/linux-x86_64/qemu-system-i386 ./qemu/linux-x86_64/qemu-system-armel ./qemu/linux-x86_64/qemu-system-i386-headless ./qemu/linux-x86_64/qemu-system-x86_64-headless ./qsn ./qemu/linux-x86_64/qemu-system-x86_64 ./qemu/linux-x86_64/qemu-system-aarch64 ./qemu/linux-x86_64/qemu-system-aarch64-headless, https://kernel.googlesource.com/pub/scm/utils/dtc/dtc.git/+/refs/heads/master/
nlohmann_json, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/android/third_party/json/NOTICE, MIT, ./goldfish-webrtc-bridge ./qemu/linux-x86_64/qemu-system-i386 ./qemu/linux-x86_64/qemu-system-armel ./qemu/linux-x86_64/qemu-system-i386-headless OpenglRender.so ./nimble_bridge ./emulator-check ./qemu-img ./qemu/linux-x86_64/qemu-system-x86_64-headless ./qsn ./qemu/linux-x86_64/qemu-system-x86_64 emugl_common.so ./qemu/linux-x86_64/qemu-system-aarch64 ./qemu/linux-x86_64/qemu-system-aarch64-headless ./qemu/linux-x86_64/qemu-system-armel-headless, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/android/third_party/json/
keymaster-3, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/libkeymaster3/NOTICE, Apache-2.0, ./goldfish-webrtc-bridge ./qemu/linux-x86_64/qemu-system-i386 ./qemu/linux-x86_64/qemu-system-armel ./qemu/linux-x86_64/qemu-system-i386-headless OpenglRender.so ./nimble_bridge ./emulator-check ./qemu-img ./qemu/linux-x86_64/qemu-system-x86_64-headless ./qsn ./qemu/linux-x86_64/qemu-system-x86_64 emugl_common.so ./qemu/linux-x86_64/qemu-system-aarch64 ./qemu/linux-x86_64/qemu-system-aarch64-headless ./qemu/linux-x86_64/qemu-system-armel-headless, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/libkeymaster3
Qt Svg, https://doc.qt.io/qt-5.12/qtSvg-index.html#licenses-and-attributions, LGPL-3.0-only, ./qemu/linux-x86_64/qemu-system-aarch64 ./qemu/linux-x86_64/qemu-system-x86_64 ./qemu/linux-x86_64/qemu-system-i386 ./qemu/linux-x86_64/qemu-system-armel, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/qt-everywhere-src-5.12.1.tar.xz
