signature,maxTargetSdk,overrideSourcePosition,publicAlternatives,trackingBug
|Landroid/bluetooth/BluetoothA2dp;->close()V|,||,||,||,||
|Landroid/bluetooth/BluetoothA2dp;->connect(Landroid/bluetooth/BluetoothDevice;)Z|,||,||,||,||
|Landroid/bluetooth/BluetoothA2dp;->disconnect(Landroid/bluetooth/BluetoothDevice;)Z|,||,||,||,||
|Landroid/bluetooth/BluetoothA2dp;->getActiveDevice()Landroid/bluetooth/BluetoothDevice;|,||,||,||,|171933273|
|Landroid/bluetooth/BluetoothA2dp;->getPriority(Landroid/bluetooth/BluetoothDevice;)I|,|28|,||,||,|115609023|
|Landroid/bluetooth/BluetoothA2dp;->setActiveDevice(Landroid/bluetooth/BluetoothDevice;)Z|,||,||,||,|171933273|
|Landroid/bluetooth/BluetoothA2dp;->stateToString(I)Ljava/lang/String;|,|28|,||,||,|115609023|
|Landroid/bluetooth/BluetoothA2dpSink;->disconnect(Landroid/bluetooth/BluetoothDevice;)Z|,|30|,||,||,|170729553|
|Landroid/bluetooth/BluetoothAdapter;->factoryReset()Z|,|30|,||,||,|170729553|
|Landroid/bluetooth/BluetoothAdapter;->getBluetoothManager()Landroid/bluetooth/IBluetoothManager;|,||,||,||,||
|Landroid/bluetooth/BluetoothAdapter;->getLeState()I|,||,||,|Use {@link #getState()} instead to determine whether you can use BLE & BT classic.|,||
|Landroid/bluetooth/BluetoothAdapter;->getUuids()[Landroid/os/ParcelUuid;|,||,||,||,||
|Landroid/bluetooth/BluetoothAdapter;->listenUsingEncryptedRfcommWithServiceRecord(Ljava/lang/String;Ljava/util/UUID;)Landroid/bluetooth/BluetoothServerSocket;|,|30|,||,||,|170729553|
|Landroid/bluetooth/BluetoothAdapter;->listenUsingRfcommOn(IZZ)Landroid/bluetooth/BluetoothServerSocket;|,||,||,||,||
|Landroid/bluetooth/BluetoothAdapter;->mService:Landroid/bluetooth/IBluetooth;|,||,||,||,||
|Landroid/bluetooth/BluetoothClass;-><init>(I)V|,|28|,||,||,|115609023|
|Landroid/bluetooth/BluetoothCodecConfig;-><init>(IIIIIJJJJ)V|,||,||,||,||
|Landroid/bluetooth/BluetoothDevice;-><init>(Ljava/lang/String;)V|,||,||,||,||
|Landroid/bluetooth/BluetoothDevice;->ACTION_SDP_RECORD:Ljava/lang/String;|,|30|,||,||,|170729553|
|Landroid/bluetooth/BluetoothDevice;->EXTRA_REASON:Ljava/lang/String;|,||,||,||,||
|Landroid/bluetooth/BluetoothDevice;->EXTRA_SDP_SEARCH_STATUS:Ljava/lang/String;|,|30|,||,||,|170729553|
|Landroid/bluetooth/BluetoothDevice;->connectGatt(Landroid/content/Context;ZLandroid/bluetooth/BluetoothGattCallback;IZILandroid/os/Handler;)Landroid/bluetooth/BluetoothGatt;|,|30|,||,||,|170729553|
|Landroid/bluetooth/BluetoothDevice;->convertPinToBytes(Ljava/lang/String;)[B|,||,||,||,||
|Landroid/bluetooth/BluetoothDevice;->createInsecureRfcommSocket(I)Landroid/bluetooth/BluetoothSocket;|,||,||,|Use {@link #createInsecureRfcommSocketToServiceRecord} instead.|,||
|Landroid/bluetooth/BluetoothDevice;->createRfcommSocket(I)Landroid/bluetooth/BluetoothSocket;|,||,||,||,||
|Landroid/bluetooth/BluetoothDevice;->createScoSocket()Landroid/bluetooth/BluetoothSocket;|,||,||,||,||
|Landroid/bluetooth/BluetoothGatt;->connect(Ljava/lang/Boolean;Landroid/bluetooth/BluetoothGattCallback;Landroid/os/Handler;)Z|,|30|,||,||,|170729553|
|Landroid/bluetooth/BluetoothGatt;->mAuthRetryState:I|,|28|,||,||,|115609023|
|Landroid/bluetooth/BluetoothGatt;->mAutoConnect:Z|,||,||,||,||
|Landroid/bluetooth/BluetoothGatt;->mCallback:Landroid/bluetooth/BluetoothGattCallback;|,||,||,||,||
|Landroid/bluetooth/BluetoothGatt;->mClientIf:I|,||,||,||,||
|Landroid/bluetooth/BluetoothGatt;->mDeviceBusy:Ljava/lang/Boolean;|,|30|,||,||,|170729553|
|Landroid/bluetooth/BluetoothGatt;->mService:Landroid/bluetooth/IBluetoothGatt;|,||,||,||,||
|Landroid/bluetooth/BluetoothGatt;->mTransport:I|,|30|,||,||,|170729553|
|Landroid/bluetooth/BluetoothGatt;->refresh()Z|,||,||,||,||
|Landroid/bluetooth/BluetoothGatt;->unregisterApp()V|,||,||,||,||
|Landroid/bluetooth/BluetoothGattCharacteristic;->mInstance:I|,||,||,||,||
|Landroid/bluetooth/BluetoothGattCharacteristic;->mService:Landroid/bluetooth/BluetoothGattService;|,||,||,||,||
|Landroid/bluetooth/BluetoothGattCharacteristic;->setKeySize(I)V|,||,||,||,||
|Landroid/bluetooth/BluetoothGattCharacteristic;->setService(Landroid/bluetooth/BluetoothGattService;)V|,||,||,||,||
|Landroid/bluetooth/BluetoothGattDescriptor;->mCharacteristic:Landroid/bluetooth/BluetoothGattCharacteristic;|,||,||,||,||
|Landroid/bluetooth/BluetoothGattDescriptor;->mInstance:I|,||,||,||,||
|Landroid/bluetooth/BluetoothGattDescriptor;->setCharacteristic(Landroid/bluetooth/BluetoothGattCharacteristic;)V|,||,||,||,||
|Landroid/bluetooth/BluetoothGattService;->mDevice:Landroid/bluetooth/BluetoothDevice;|,||,||,||,||
|Landroid/bluetooth/BluetoothGattService;->setAdvertisePreferred(Z)V|,|30|,||,||,|170729553|
|Landroid/bluetooth/BluetoothGattService;->setInstanceId(I)V|,||,||,||,||
|Landroid/bluetooth/BluetoothHeadset;->close()V|,||,||,||,||
|Landroid/bluetooth/BluetoothHeadset;->getActiveDevice()Landroid/bluetooth/BluetoothDevice;|,||,||,||,|171933273|
|Landroid/bluetooth/BluetoothHeadset;->getPriority(Landroid/bluetooth/BluetoothDevice;)I|,|30|,||,||,|170729553|
|Landroid/bluetooth/BluetoothHeadset;->isEnabled()Z|,||,||,||,||
|Landroid/bluetooth/BluetoothHeadset;->phoneStateChanged(IIILjava/lang/String;ILjava/lang/String;)V|,|30|,||,||,|170729553|
|Landroid/bluetooth/BluetoothHeadset;->setActiveDevice(Landroid/bluetooth/BluetoothDevice;)Z|,||,||,||,|171933273|
|Landroid/bluetooth/BluetoothHeadsetClient;->acceptCall(Landroid/bluetooth/BluetoothDevice;I)Z|,|30|,||,||,|170729553|
|Landroid/bluetooth/BluetoothHeadsetClient;->connect(Landroid/bluetooth/BluetoothDevice;)Z|,|30|,||,||,|170729553|
|Landroid/bluetooth/BluetoothHeadsetClient;->disconnect(Landroid/bluetooth/BluetoothDevice;)Z|,|30|,||,||,|170729553|
|Landroid/bluetooth/BluetoothHeadsetClient;->getAudioState(Landroid/bluetooth/BluetoothDevice;)I|,|30|,||,||,|170729553|
|Landroid/bluetooth/BluetoothHeadsetClient;->rejectCall(Landroid/bluetooth/BluetoothDevice;)Z|,|30|,||,||,|170729553|
|Landroid/bluetooth/BluetoothHeadsetClientCall;->getId()I|,|30|,||,||,|170729553|
|Landroid/bluetooth/BluetoothHeadsetClientCall;->getNumber()Ljava/lang/String;|,|30|,||,||,|170729553|
|Landroid/bluetooth/BluetoothHeadsetClientCall;->getState()I|,|30|,||,||,|170729553|
|Landroid/bluetooth/BluetoothHeadsetClientCall;->isMultiParty()Z|,|30|,||,||,|170729553|
|Landroid/bluetooth/BluetoothHeadsetClientCall;->isOutgoing()Z|,|30|,||,||,|170729553|
|Landroid/bluetooth/BluetoothHearingAid;->getActiveDevices()Ljava/util/List;|,|30|,||,||,|170729553|
